id,temperature,humidity,timeRecorded,ldrValue
1,0.0,0.0,2025-02-17 23:20:56,0.0
2,32.6,67.8,2025-02-17 23:51:06,0.0
3,32.6,67.8,2025-02-18 10:40:00,300.0
4,32.2,65.0,2025-02-18 11:40:23,0.0
5,32.2,65.1,2025-02-18 11:40:29,0.0
6,32.1,65.3,2025-02-18 11:40:34,0.0
7,31.0,68.3,2025-02-18 11:41:50,0.0
8,31.0,68.3,2025-02-18 11:41:55,0.0
9,31.0,68.4,2025-02-18 11:42:00,0.0
10,31.0,68.5,2025-02-18 11:42:05,0.0
11,30.9,68.6,2025-02-18 11:42:11,0.0
12,30.9,68.7,2025-02-18 11:42:16,0.0
13,30.3,70.3,2025-02-18 11:43:40,0.0
14,30.4,70.3,2025-02-18 11:43:45,0.0
15,30.4,70.3,2025-02-18 11:43:51,0.0
16,30.4,70.2,2025-02-18 11:43:56,0.0
17,30.4,70.2,2025-02-18 11:44:01,0.0
18,30.3,70.2,2025-02-18 11:44:25,0.0
19,30.3,70.3,2025-02-18 11:44:30,0.0
20,30.2,70.4,2025-02-18 11:44:35,0.0
21,30.2,70.5,2025-02-18 11:44:41,0.0
22,30.2,70.5,2025-02-18 11:44:46,0.0
23,30.0,71.1,2025-02-18 11:45:31,999.99
24,30.0,71.1,2025-02-18 11:45:36,999.99
25,30.1,71.1,2025-02-18 11:45:42,999.99
26,30.0,71.0,2025-02-18 11:45:47,999.99
27,30.1,71.1,2025-02-18 11:45:52,999.99
28,30.1,71.1,2025-02-18 11:45:57,999.99
29,30.1,71.0,2025-02-18 11:46:03,999.99
30,30.1,71.0,2025-02-18 11:46:08,999.99
31,30.1,71.0,2025-02-18 11:46:13,999.99
32,30.1,71.0,2025-02-18 11:46:19,999.99
33,30.1,71.0,2025-02-18 11:46:24,999.99
34,30.1,71.0,2025-02-18 11:46:29,999.99
35,30.1,70.9,2025-02-18 11:46:34,999.99
36,30.1,70.9,2025-02-18 11:46:40,999.99
37,30.1,70.9,2025-02-18 11:46:45,999.99
38,30.1,70.9,2025-02-18 11:46:50,999.99
39,30.1,70.9,2025-02-18 11:46:56,999.99
40,30.1,70.9,2025-02-18 11:47:01,999.99
41,30.1,70.9,2025-02-18 11:47:06,999.99
42,30.1,70.8,2025-02-18 11:47:11,999.99
43,30.1,70.8,2025-02-18 11:47:16,999.99
44,30.1,70.8,2025-02-18 11:47:22,999.99
45,30.1,70.9,2025-02-18 11:47:28,999.99
46,30.1,70.8,2025-02-18 11:47:36,999.99
47,30.1,70.8,2025-02-18 11:47:41,999.99
48,30.1,70.8,2025-02-18 11:47:46,999.99
49,30.1,70.7,2025-02-18 11:47:52,999.99
50,30.1,70.7,2025-02-18 11:47:57,999.99
51,30.1,70.8,2025-02-18 11:48:02,999.99
